customer_id,1-11-2022,16-11-2022,17-11-2022,19-11-2022,21-11-2022,23-11-2022,24-11-2022,29-11-2022,01-12-2022,04-12-2022,11-12-2022,18-12-2022,21-12-2022,22-12-2022,23-12-2022,24-12-2022,25-12-2022,30-12-2022,02-01-2023,02-01-2023,04-01-2023,06-01-2023,07-01-2023,08-01-2023,12-01-2023,13-01-2023,16-01-2023,18-01-2023,19-01-2023,20-01-2023,21-01-2023,22-01-2023,31-01-2023,07-02-2023,09-02-2023,20-02-2023,22-02-2023,23-02-2023,24-02-2023,10-02-2023,02-03-2023,03-03-2023,04-03-2023,05-03-2023,06-03-2023,13-03-2023,14-03-2023,21-03-2023,25-03-2023,26-05-2023,27-03-2023,29-03-2023,30-03-2023,31-03-2023
9990010012,,5000,,,,3000,,,,,,,,,,,,,,,,,,,,-8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010004,100,5000,,,3000,,,,2000,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,
9990010013,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010014,,7000,2000,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15000,,,,,,,,,,,,,,,,,,,
9990010015,,5000,,,,,,,20000,,,,,,-6000,,,,,,,,,,,,-5000,-4000,,,,,,8000,,,,,,,,,300,,,,,,,,,,,
9990010016,1500,1000,,,,,800,,,,,,,,,,,,,,,,,,,,-1900,950,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010017,,,,,20000,-5000,,,,,-15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010018,,,,1500,,,,,,,,,4000,,,,,,-5700,6200,7800,,,,-6800,,,,,,,,,,,,,,,,,,,,,,,,,,4740,,,
9990010019,,500,500,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010001,,,,,,,,,,,7000,,,,,,,,1000,,,,,,,1000,,,-7000,7000,,4000,,,,,,,,,,-5000,,,,,,-8000,,,,,,7500
9990010020,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2000
9990010021,,,,,,,,,,,,,3000,,,,,,,,,,,-3000,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,20000,,
9990010002,,,,,,,,,,,,,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010022,0,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,3040,-3040,,,,,,,,,,,,,,650
9990010023,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010009,,,,,,,,,,,,,,,,,,,,,,600,1400,,,,,,,,2000,,,-4000,,,,,2400,,-500,,,-1900,,,,,,,,,,
9990010010,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
9990010024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
9990010025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
9990010003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,5000,,,-5000,,,,,,,,16000,
9990010026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,-500,,,,,,,,,,,,,,,,,,
9990010027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,2500,500,,1600,,,,,
9990010007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,-5000,,,,,,,,,-5000,,,,,,,
9990010011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,
9990010006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
